headline,date,link,compound_score,sentiment
Asian Equities Traded in the US as American Depositary Receipts Rise in Tuesday Trading,2025-04-29 08:07:25,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Tuesday-Trading-49756965/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Rise in Monday Trading,2025-04-28 08:10:13,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Rise-in-Monday-Trading-49739802/,0.0,Neutral
HDFC Bank : Earnings Call Transcript Q4FY25,2025-04-28 04:32:07,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Earnings-Call-Transcript-Q4FY25-49736588/,0.0,Neutral
HDFC Bank : Parivartan inaugurates its first ‘Learning Corner’ in Gurugram for underprivileged children,2025-04-28 02:24:07,/quote/stock/HDFC-BANK-LIMITED-105516154/news/HDFC-Bank-Parivartan-inaugurates-its-first-Learning-Corner-in-Gurugram-for-underprivileged-c-49735072/,0.0,Neutral
Asian Equities Traded in the US as American Depositary Receipts Lower in Friday Trading; End Week Up 5%,2025-04-25 08:03:09,/quote/stock/UXIN-LIMITED-44403618/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Lower-in-Friday-Trading-End-Week-Up-49723786/,-0.296,Negative
Asian Equities Traded in the US as American Depositary Receipts Track Higher in Thursday Trading,2025-04-24 07:56:11,/quote/stock/SIFY-TECHNOLOGIES-LIMITED-10829/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Track-Higher-in-Thursday-Trading-49708050/,0.0,Neutral
"India's Axis Bank beats quarterly profit view, sees improved retail loan growth in FY26",2025-04-24 05:20:18,/quote/stock/AXIS-BANK-LIMITED-46730206/news/India-s-Axis-Bank-beats-quarterly-profit-view-sees-improved-retail-loan-growth-in-FY26-49705087/,0.8225,Positive
RBI's cash influx seen a small relief amid global uncertainty,2025-04-24 02:39:17,/quote/stock/HDFC-BANK-LIMITED-105516154/news/RBI-s-cash-influx-seen-a-small-relief-amid-global-uncertainty-49702404/,0.1779,Positive
"Kay Cee Energy & Infra Limited announced that it expects to receive INR 250.272 million in funding from HDFC Bank Limited, Shine Star Build-Cap Private Limited, Moneywise Financial Services Private Limited, Vedas Opportunities Fund, VIKASA Capital LLC",2025-04-24 03:30:00,/quote/stock/HDFC-BANK-LIMITED-105516154/news/Kay-Cee-Energy-Infra-Limited-announced-that-it-expects-to-receive-INR-250-272-million-in-funding-f-49737277/,-0.2263,Negative
Asian Equities Traded in the US as American Depositary Receipts Surge in Wednesday Trading,2025-04-23 08:15:41,/quote/stock/VNET-GROUP-INC-7855123/news/Asian-Equities-Traded-in-the-US-as-American-Depositary-Receipts-Surge-in-Wednesday-Trading-49691852/,0.0,Neutral
