Text,Date,label
"According to the Income Tax Department, PAN cards have to be given for cash purchases of bank drafts, pay orders or bankers checks of Rs 50,000 or above in a day.",01-01-2022,Neutral
"Royal Enfield posted their highest monthly sales of the year 2021 in Dec. Thanks to this, yearly sales are in green.",01-01-2022,Positive
Jeep is gearing up to launch its 7 seater SUV Meridian that is based on its smaller sibling Compass in India.,01-01-2022,Neutral
Tata Motors says the move will help in providing a differentiated focus for the PV and commercial vehicle businesses separately.,01-01-2022,Positive
India's Directorate General of GST Intelligence (DGGI) reportedly raided major cryptocurrency exchanges Saturday.,01-01-2022,Neutral
The mobility firm is already in news for its electric scooters; Ola S1 and Ola S1 Pro,01-01-2022,Neutral
The RBI cited increasing cost of ATM deployment and expenses towards maintenance incurred by banks or white-label ATM operators in its circular | OpIndia News,01-01-2022,Neutral
Owners of 10-year-old diesel vehicles have now the option to retrofit them with electric kits or sell them in other states after obtaining a no-objection certificate (NOC) from the transport department.,01-01-2022,Neutral
The EV will be produced at the company’s manufacturing facility at Chittoor in Andhra Pradesh,01-01-2022,Neutral
Honda car sales for 2021 has registered growth YoY. But their sales in Dec 2021 have declined by 7.7%. Report on Honda Car Sales Dec 2021.,01-01-2022,Negative
"India's central bank, the Reserve Bank of India (RBI), has warned about multiple risks cryptocurrency poses to the country's financial stability. ""They are also prone to frauds and to extreme price volatility,” the apex bank claims.",02-01-2022,Negative
"Dogecoin and Bitgert (BRISE) are two cryptocurrency projects with a huge potential to skyrocket in 2022. Dogecoin has been receiving celebrities and public figures' endorsements, which is makes super competitive.",02-01-2022,Positive
"Skoda Kushaq has now been doing pretty well in the Indian market. At first, it did face some hiccups, but now everything seems sorted. A Skoda Kushaq owner named Nirmal Kumar has named his newborn baby Ethan Zac because he seems pretty happy with his new mid-size SUV.",02-01-2022,Positive
"Also known as integrated circuits or more commonly just chips, they may be the tiniest yet most exacting product ever manufactured on a global scale.",02-01-2022,Neutral
"A  higher  share  of  MSME  clients  may  be  behind  high disbursals,  say  analysts",02-01-2022,Neutral
"Toyota is planning to launch 5 new models including a new mid-sized SUV, new Urban Cruiser and Hilux pick-up in 2022 and 2023.",02-01-2022,Neutral
"A crew member of Cordelia Cruise's Mumbai-Goa ship tested Covid positive. Over 2,000 others on board are being tested.",02-01-2022,Neutral
"Before joining Tesla, Ashok Elluswamy was associated with Volkswagen Electronic Research Lab and WABCO Vehicle Control System.",02-01-2022,Neutral
Analysts warn that any weakness in earnings delivery could result in a re-rating of stocks,02-01-2022,Negative
The officials from the transport department have recently empanelled six manufacturers through which these old diesel and petrol vehicles could be retrofitted with electric conversion kits.,02-01-2022,Neutral
"On 6 August, RBI had permitted a pilot scheme to encourage technological innovations that enable small value digital transactions done offline.",03-01-2022,Neutral
"To push digital transactions in rural and semi-urban areas, the Reserve Bank of India (RBI) on Monday issued a framework allowing offline payments up to Rs 200 per transaction, subject to an overall limit of Rs 2,000.",03-01-2022,Neutral
As per the announcement of the Reserve Bank of India (RBI) some changes for Debit and Credit card transactions have been made following which you will now have to pay more charges from earlier for extra ATM withdrawals made after the allocated monthly limit.,03-01-2022,Neutral
"The sales numbers of December 2021 are here and it reveals that Tata Motors has snatched away the second position from Hyundai. Tata Motors sold 35,299 units as compared to 32,312 units that Hyundai sold. Moreover, Tata Motors sales increased by 50 percent when compared to the sales numbers of December 2020.",03-01-2022,Positive
"This comes after Future Coupons Ltd moved the Delhi Court today seeking the termination of arbitration proceedings currently underway at Singapore International Arbitration Centre, following the Competition Commission of India’s order",03-01-2022,Neutral
"Move comes after weekend default by retailer sets clock ticking.Future Retail’s lenders include Union Bank, Bank of India, Bank of Baroda, SBI, Indian Bank, Central Bank, Axis and IDBI Bank",03-01-2022,Neutral
Uncertainty over curbs and self-isolation rules is depressing demand,03-01-2022,Negative
"SBI, in a statement said, it will charge ₹20 plus GST on IMPS transactions abover ₹2 lakh till ₹5 lakh.",03-01-2022,Neutral
"Trade setup for Tuesday, January 4: The Nifty50 has a long bull candle on the daily chart, a sign of a strong comeback of the bulls, says Nagaraj Shetti of HDFC Securities. Here's what the technical charts suggest for the coming session on Dalal Street.",03-01-2022,Neutral
Rajya Sabha MP Subramanian Swamy has moved the Delhi High Court seeking to quash the Air India disinvestment process. The plea is likely to be heard tomorrow by a division bench comprising of Chief...,03-01-2022,Neutral
"Sanjay Bhargava, the head of Starlink India, has stepped down from his role weeks after the Indian government ordered the SpaceX division to stop taking orders for the devices.",04-01-2022,Negative
"Sanjay Bhargava, Country Director and Chairman of the Board of Starlink India, has quit after Elon Musk's internet company is not able to get a license to operate in India.",04-01-2022,Neutral
"iD Fresh Foods has raised Rs 507 crore in a Series D funding round led by NewQuest Capital Partner along with the existing investor, Premji Invest.",04-01-2022,Neutral
"ONGC Tripura owns and operates a 726.6 MW gas-based combined cycle power plant in Palatana, Tripura",04-01-2022,Neutral
India’s largest life insurer’s assets at $463 bn; The 65-yr-old insurance behemoth’s AUM accounts for 18% of India’s GDP,04-01-2022,Neutral
"The 37-year-old Elizabeth Holmes — once hailed as the “female Steve Jobs” for her purported vision, dynamism, and her penchant for black turtlenecks — now awaits sentencing.",04-01-2022,Neutral
"With the cryptocurrency market entering a new phase in 2022, it is essential to sort out the best investment model. Digital tokens like Polygen, Polkadot, Chainlink and Bitgert have practical plans to grow in the present year.",04-01-2022,Positive
"If the situation does not improve even after three months, then the organization will again adopt the path of a fresh movement. So from today, the movement against HUL is postponed till further notice by the organization, the AICPDF said",04-01-2022,Neutral
Marico’s international business saw high-teen constant currency growth on a healthy base,04-01-2022,Positive
A bank mentioned in the Second Schedule of the Reserve Bank of India Act is known as ''Scheduled Commercial Bank''.,04-01-2022,Neutral
"While Hero Electric has roped in Khaitan and Company, Pawan Munjal-run Hero MotoCorp has Senior Advocates Abhishek Manu Singhvi and Rajiv Nair on its legal team.",05-01-2022,Neutral
"In an interview with Mint, Shalini Warrier talks about Federal Bank’s fintech strategy and how bullish it is on fintechs to grow its liabilities and unsecured lending base",05-01-2022,Neutral
"In a letter to the State Level Bankers Committee (SLBC), the United Forum of Bank Unions (Maharashtra State) also urged to consider restricting banking hours till 2 pm",05-01-2022,Neutral
"In the two decades till March 2019, India added 3.6 crore demat accounts. Now, that number has more than doubled -- the country now has 7.7 crore demat accounts, as per SEBI chairman Ajay Tyagi.",05-01-2022,Positive
"After detecting significant amount of Goods and Services Tax evasion by cryptocurrency exchange WazirX, other crypto exchanges and major investors in digital currencies are under the lens of multiple agencies.",05-01-2022,Neutral
"""The promoters of the coin siphoned out the money and illegally invested in immovable properties in Kerala, Tamil Nadu and Karnataka, particularly in real estate without showing any source of income,’’ said an ED source.",05-01-2022,Negative
Bharat Sanchar Nigam Limited (BSNL) has announced to give an additional validity of 90 days for free with its Rs 2399 prepaid recharge plan.,05-01-2022,Neutral
"ICMR chief Dr Balram Bhargava said the United States had approved the drug based on only 1,433 patients among whom three percent reduction was observed in symptoms in those with mild to moderate disease.",05-01-2022,Neutral
The production of the Kodiaq has already begun at Skoda’s manufacturing plant in Aurangabad,05-01-2022,Neutral
A show-cause notice has been slapped on Xiaomi India following recovery of documents during searches on its premises that indicated remittance of royalty and licence fee to US and Chinese firms under contractual obligations.,05-01-2022,Neutral
"Apart from identifying the B.1.1.529 (Omicron) variant, the kit can also detect any other circulating SARS-CoV-2 variants.",06-01-2022,Neutral
"Bookings for Tata Tiago CNG and Tigor CNG have already commenced, and other Tata cars are expected to get CNG powertrain options as well",06-01-2022,Neutral
BMW has recently demonstrated iX M60 electric SUV which enables you to change colour of the SUV with just a click of a button.,06-01-2022,Positive
"The Dow Jones Industrial Average fell 168.21 points, or 0.46%, to 36,238.9, the S&P 500 lost 15.61 points, or 0.33%, to 4,684.97 and the Nasdaq Composite dropped 75.98 points, or 0.5%, to 15,024.20",06-01-2022,Negative
"SMEV said in a report sales rose 132% and 233,971 electric vehicles were sold in 2021",06-01-2022,Positive
"""Around 64 percent of the total primary market sales of 2021 in Kolkata was achieved in H2 (July-December) alone, as two percent government rebate on stamp duty for property registrations played a crucial role in the rejuvenation of the residential market,"" Knight Frank India said in its second half-yearly study of 2021.",06-01-2022,Neutral
