date,headline,source,url,company
2025-10-05,"TCS results, macro data, global trends to drive markets this week",BusinessLine,https://www.thehindubusinessline.com/markets/tcs-results-macro-data-global-trends-to-drive-markets-this-week/article70127569.ece,TCS
2025-10-05,"Mcap Of 7 Out Of Top 10 Indian Companies Jumps Rs 74,563 Crore; HDFC Bank Leads Gains",Ndtvprofit.com,https://www.ndtvprofit.com/markets/mcap-of-7-out-of-top-10-indian-companies-jumps-rs-74563-crore-hdfc-bank-leads-gains,TCS
2025-10-05,"Mcap: 7 of top-10 most valued firms climbs ₹74,573 cr; HDFC Bank biggest gainer",BusinessLine,https://www.thehindubusinessline.com/markets/mcap-7-of-top-10-most-valued-firms-climbs-74573-cr-hdfc-bank-biggest-gainer/article70127426.ece,TCS
2025-10-05,From Q2 earnings to FII movements: 8 key drivers likely to impact D-Street this week,The Times of India,https://economictimes.indiatimes.com/markets/stocks/news/from-q2-earnings-to-fii-movements-8-key-drivers-likely-to-impact-d-street-this-week/articleshow/124315966.cms,TCS
2025-10-04,Is JioBlackRock Flexi Cap worth a bite?,BusinessLine,https://www.thehindubusinessline.com/portfolio/mutual-funds/systematic-data-driven-approach/article70115793.ece,TCS
2025-10-04,Strong footing in rocky terrain,BusinessLine,https://www.thehindubusinessline.com/portfolio/personal-finance/strong-footing-in-rocky-terrain/article70115965.ece,TCS
2025-10-04,"NITES Appeals To Maharashtra CM Against TCS Layoffs, Alleging Forced Resignations Of 2,500 Mid-To-Senior Staff",Ndtvprofit.com,https://www.ndtvprofit.com/business/teamlease-services-share-price-in-focus-nites-appeals-to-maharashtra-cm-against-tcs-layoffs,TCS
2025-10-03,Ant Anstead Ordered to Pay 6-Figures Over Car Business Amid Bankruptcy,Us Weekly,https://www.usmagazine.com/celebrity-news/news/ant-anstead-to-pay-6-figures-over-car-business-amid-bankruptcy-excl/#article,TCS
2025-10-03,The AI Effect: What Q2 2025 Technology Services Earnings Mean For Technology Executives,Forrester.com,https://www.forrester.com/blogs/the-ai-effect-what-q2-2025-technology-services-earnings-mean-for-technology-executives/,TCS
2025-10-03,Procurement As A Service Market Outlook 2025–2032: Strong CAGR of 11.8% with USD 17.17 Billion Valuation,GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/03/3161023/0/en/Procurement-As-A-Service-Market-Outlook-2025-2032-Strong-CAGR-of-11-8-with-USD-17-17-Billion-Valuation.html,TCS
2025-10-03,US Senators pose nine questions to TCS on hiring practices in America H-1B approach,Freerepublic.com,https://freerepublic.com/focus/f-chat/4344067/posts,TCS
2025-10-03,'Unethical And Illegal': IT Union Doubles Down On TCS Layoffs Charge,Ndtvprofit.com,https://www.ndtvprofit.com/business/unethical-and-illegal-it-union-doubles-down-on-tcs-layoffs-charge,TCS
2025-10-03,"TCS, Cognizant and 8 others face US Senate heat over H-1B hiring amid mass layoffs",BusinessLine,https://www.thehindubusinessline.com/companies/tcs-cognizant-and-8-others-face-us-senate-heat-over-h-1b-hiring-amid-mass-layoffs/article70120878.ece,TCS
2025-10-03,TCS layoffs severance packages: A detailed breakdown of who may get what as the IT giant cuts 2% of its workforce,The Times of India,https://economictimes.indiatimes.com/news/new-updates/tcs-layoffs-severance-packages-a-detailed-breakdown-of-who-may-get-what-as-the-it-giant-cuts-2-of-its-workforce/articleshow/124285862.cms,TCS
2025-10-03,Youth anxiety—what two major public issues reveal about India’s crisis of unemployment,Livemint,https://www.livemint.com/opinion/online-views/ipo-india-job-creation-urban-company-physicswallah-youth-unemployment-gig-economy-factory-jobs-manufacturing-h-1b-visa-11759475556544.html,TCS
2025-10-03,US Senators To TCS: Why Lay Off Americans While Hiring Thousands On H-1B?,Ndtvprofit.com,https://www.ndtvprofit.com/business/us-senators-to-tcs-why-lay-off-americans-while-hiring-thousands-on-h-1b,TCS
2025-10-03,"India’s TCS, Tech Firms to Face Questions Over Trump’s H-1B Visa Shock",Biztoc.com,https://biztoc.com/x/d3e6d77b975ac11b,TCS
2025-10-03,"Stocks to buy in 2025 for long term: TCS, Sun Pharma among 5 stocks that could give 14-36% return",Economictimes.com,https://m.economictimes.com/markets/stocks/news/stocks-to-buy-in-2025-for-long-term-tcs-sun-pharma-among-5-stocks-that-could-give-14-36-return/brokerage-recommendations/slideshow/124281126.cms,TCS
