Text,Date,label
"SBI, ICICI Bank, HDFC Bank Continue to Remain Systemically Important Banks: RBI",02-01-2023,Neutral
"Adani Group's stocks together hold a market valuation of ₹8,27,303.99 crore as of February 20, which is far lower than the market cap of Reliance Industries (RIL), Tata Consultancy Services (TCS), and HDFC Bank.",20-02-2023,Neutral
"The National Company Law Tribunal (NCLT) on Friday gave its approval for the merger of HDFC Property Ventures and HDFC Venture Capital with HDFC Capital Advisors, taking the merger of the parent with HDFC Bank a step closer.",03-03-2023,Neutral
"One of the largest private sector banks in India, HDFC Bank, has allegedly fallen victim to a data breach. A user on a well known underground hacker forum has posted 7.5GB of HDFC Bank data for download.",06-03-2023,Negative
"Nine banks, viz., State Bank of India, Bank of Baroda, Union Bank of India, HDFC Bank, ICICI Bank, Kotak Mahindra Bank, Yes Bank, IDFC First Bank and HSBC",13-03-2023,Neutral
HDFC Bank deposits: This is the highest in a three-month period since merger announcement with HDFC Ltd,05-04-2023,Positive
"HDFC Bank Fundraise :Previous largest bond raise was by SBI at over Rs 38,850 cr in FY23",11-04-2023,Neutral
"HDFC Bank has already released its balance sheets performance for Q4FY23. In this quarter, the bank garnered advances of approximately ₹16,005 billion, rising by 16.9% YoY. While deposits stood at ₹18,835 billion in Q4FY23, up by 20.8% YoY.",13-04-2023,Positive
Market participants said MSCI intends to delete HDFC from MSCI Global Standard Index and at the same time add HDFC Bank to the large cap segment of MSCI Global Standard Indexes with a foreign inclusion factor (FIF) of 0.37 after applying an adjustment factor of 0.5.,06-05-2023,Neutral
"MSCI announced to add HDFC Bank merged entity in the large-cap segment of its Global Standard Indexes with a weightage of 6.5%. Further, there is foreign inclusion factor (FIF) of 0.37 for the merged entity after applying an adjustment factor of 0.5.",06-05-2023,Neutral
"HDFC Bank Analyst Day Meet Highlights: Despite the aggressive investment plans and merger, the management, as per the brokerages who attended the meet, has exuded confidence that it will maintain the return on average assets (RoAAs) in the range of 1.9-2.1 per cent from the first day of the merger. Get more Companies News and Business News on Zee Business.",25-05-2023,Positive
"HDFC Bank hosted its analyst day after Q4 results for FY23. The bank is optimistic about FY24, especially after merging HDFC under its ambit. Brokerages have recommended buying HDFC Bank's stock price and see a potential upside from 19-35%.",27-05-2023,Positive
"HDFC Bank on Monday suspended a high-ranking employee after a video of his unruly behavior with juniors on meeting business targets went viral on the social media. This is why we need strict labour laws. Senior VP of HDFC 👇🏻 pic.twitter.com/Y2ky9JQGNe — Chikoo (@tweeterrant) June 5, 2023",05-06-2023,Neutral
"Making the mega-merger work involves complex moves. Here’s the inside story.On 1 July, private lender HDFC Bank and its mortgage-financier parent HDFC will merge in one of the largest M&A deals of all time in India",06-06-2023,Neutral
"India’s markets regulator is unlikely to give special exemption to mutual funds if they breach the norms for maximum permitted holdings in a security after the merger of HDFC Bank and HDFC , two sources with direct knowledge of the matter told Reuters.",14-06-2023,Neutral
"Top 5 stocks for Monday: Buy NTPC, BEL, L&TFin, Airtel, HDFC Bank. Weekly outlook: Nifty, BankNifty, Sensex corrected due to profit booking. Positive fundamentals and bullish trend may lead to buying on support levels.",25-06-2023,Positive
"From the top-10 pack, Reliance Industries, ICICI Bank, Hindustan Unilever, ITC, Infosys and State Bank of India (SBI) faced erosion from market capitalisation (Mcap). However, Tata Consultancy Services (TCS), HDFC Bank, HDFC and Bharti Airtel emerged as the gainers.",25-06-2023,Negative
"HDFC Bank has successfully completed its merger with its parent company HDFC, becoming the largest merger between a private sector bank and an NBFC. The merger will take effect from July 1, 2023, and will result in the delisting of HDFC from exchanges.",01-07-2023,Positive
Public Sector Banks: Directive comes after the recent merger of HDFC Ltd with HDFC Bank,06-07-2023,Neutral
"HDFC Bank share price: Analysts remain upbeat about HDFC Bank stock in the medium to long term, citing the synergistic benefits of the merger. Analysts believe that HDFC Bank is an attractive long-term bet with strong business growth potential and the ability to navigate merger challenges.",06-07-2023,Positive
HDFC and HDFC Bank completed their $40 billion merger - the largest in India's corporate history on July 1 and have set July 13 as the record date for shareholders to swap HDFC's shares with those of HDFC Bank.,07-07-2023,Neutral
"HDFC Bank plans to divest a 2% stake in the National Securities Depository (NSDL) through its IPO. The bank will offload up to 40 lakh equity shares. Additionally, HDFC Bank will announce its Q1 results for FY24 on July 12.",09-07-2023,Neutral
"A short build-up was seen in 61 stocks, including HDFC Bank, LTIMindtree, L&T Technology Services, Bata India and Gujarat Gas. An increase in OI along with a price fall indicates a build-up of short positions.",12-07-2023,Positive
"As per the share exchange ratio of the merger, for every 25 shares of HDFC, 42 shares of HDFC Bank were issued to the former’s shareholders.",16-07-2023,Neutral
"Similar to Friday, the Nifty 50 ended higher by nearly 150 points, of which, 101 came from Reliance and HDFC Bank. The former is within touching distance of an all-time high, while the latter reacted to its June quarter results.",17-07-2023,Neutral
HDFC Bank's share price jumped 2.07 per cent to Rs 1679.20 at the BSE after it announced its first-quarter results on Monday. The company's share can make further gains on Tuesday. Get more Stocks News and Business News on Zee Business.,17-07-2023,Positive
"HDFC Bank Outlook for the Week (July 24, 2023 to July 28, 2023).",23-07-2023,Neutral
"HDFC bank has not been fully successful in getting all the forbearance it had sought from the Reserve Bank of India (RBI) on the liabilities front. The RBI refused to provide any exemptions on Cash Reserve Ratio (CRR) and Statutory Liquidity Ratio (SLR) requirements on the deposits that come from HDFC, which was a deposit-taking entity, according tom PTI.",11-08-2023,Negative
"HDFC Bank plans to launch a revamped mobile application and internet banking website by March, after previous glitches.",24-09-2023,Neutral
"The heavyweights continued to step up in mid-week trading as well, with Reliance Industries and HDFC Bank contributing to nearly half of the Nifty 50's gains.",11-10-2023,Positive
"In the ranking of top 10 firms, Reliance Industries retained the title of the most valued firm followed by TCS, HDFC Bank, ICICI Bank, Infosys, Hindustan Unilever, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",22-10-2023,Neutral
"The decline in benchmark indices was led by heavyweight HDFC Bank, which neared its 52-week low",26-10-2023,Negative
"In the ranking of top-10 firms, Reliance Industries retains the most valued title followed by TCS, HDFC Bank, ICICI Bank, Hindustan Unilever, Infosys, ITC, Bharti Airtel, State Bank of India and Bajaj Finance",12-11-2023,Neutral
